,Naive,LR,RF,FFNN
R0,11.054577325291046,9.247160810693476,7.992476602679459,7.276312802970438
R1,8.897305314307808,7.307478355177015,6.3970977415288495,6.7583204216222095
R2,8.587739034338165,7.92683864926431,6.762504278829535,7.0974608115427325
R3,10.408270042413605,8.418681270782804,7.007263745248325,12.90486223090592
R4,12.856550991460226,9.62401664923936,8.408345853054156,9.423883006146903
R5,9.72209995769196,7.868968172761419,6.860394802091972,7.0775684735767195
R6,8.559309501112676,7.692596252987764,6.888387805376392,7.600255791429151
