,Naive,LR,RF,FFNN
R0,0.07776940928721154,0.052829937710461995,0.01824439528991221,0.07713125505519773
R1,0.08673292242265224,0.07592785802688591,0.026199496790880523,0.10920758179474802
R2,0.11154840293670402,0.15868252908081984,0.16895820840667305,0.1983202776524458
R3,0.21808769231337313,0.10947215978268299,0.14576620110344646,10.195926587701209
R4,0.20948357644085286,0.3655930866165707,0.25733168480078233,0.8180469440419379
R5,0.1554627358817067,0.13842428299046758,0.142470483300591,0.19913730387086873
R6,0.10105354826629964,0.03915899342266775,0.04665178389185376,0.15480220718912652
