,Naive,LR,RF,FFNN
R0,0.0,0.009205376385631243,0.005647950784056814,0.01280295035748815
R1,1.2161883888976234e-16,0.013638145345499461,0.014322050489287244,0.03070658729863036
R2,1.2161883888976234e-16,0.021518951407563238,0.02909645763525783,0.0357248413333337
R3,0.0,0.022640080579848624,0.016852101477234017,3.615204646633837
R4,0.0,0.04618964283165125,0.0340050039016536,0.13660483498010398
R5,0.0,0.01727993256389821,0.011721349404551145,0.01176280982455693
R6,9.930136612989093e-17,0.012506034620991828,0.017150995390180845,0.05821901764844197
