,Naive,LR,RF,FFNN
R0,0.0,0.3002345913920292,0.4772330203169727,0.5666514396484653
R1,-2.2204460492503132e-17,0.3253350977901882,0.48288778651625525,0.42247621461935025
R2,-8.881784197001253e-17,0.14810886992321085,0.37977190933237126,0.3167504091242422
R3,0.0,0.3454925512215384,0.5465076927480533,-1.277743385358456
R4,0.0,0.43861211368908826,0.571653897212124,0.45589034900084024
R5,0.0,0.34467011564234606,0.501984920476391,0.4700504092492601
R6,-4.4408920985006264e-17,0.1920980295466796,0.3520455546716645,0.21070614353034905
