,Naive,LR,RF,FFNN
R0,0.06614505721185525,0.07480523406165637,0.023692898697034125,0.10081616738352622
R1,0.10595014047640088,0.0881792052389716,0.07446800789920374,0.13565495664897528
R2,0.16265037075559957,0.23127475665949832,0.23437988139213561,0.2628288795906102
R3,0.19789227037075638,0.17445260928265022,0.14176959724017965,9.931365799289365
R4,0.24824350448906726,0.38408671611479284,0.3584294576767948,1.0874950185717025
R5,0.16008392073330205,0.11313995785152586,0.13174734248297537,0.16692494482521972
R6,0.1446860187555232,0.09264304059168837,0.06754937521030978,0.3090942674448301
